external_source_id,legacy_id,record_type,caller_id,short_description,impact,urgency,priority,category,subcategory,final_resolver_group,resolution_state,final_state,opened_at_utc,resolved_at_utc,u_asset_id,u_kb_reference,u_simulation_label
INC022,,Incident,USR005,Outlook is not receiving new mail,2-Medium,2-Medium,P3,Microsoft 365,Mail Flow,Service Desk Tier 1,Resolved,Closed,2026-07-15T13:00:00Z,2026-07-15T13:55:00Z,NS-LT-005,KB006,SIMULATED PORTFOLIO DATA
INC023,,Incident,USR002,Teams microphone is not detected,2-Medium,2-Medium,P3,Microsoft 365,Teams Audio,Service Desk Tier 1,Resolved,Closed,2026-07-15T14:00:00Z,2026-07-15T14:47:00Z,NS-LT-002,none,SIMULATED PORTFOLIO DATA
INC024,,Incident,USR012,Teams sign-in fails after password change,2-Medium,2-Medium,P3,Microsoft 365,Teams Sign-in,Service Desk Tier 1,Resolved,Closed,2026-07-16T13:00:00Z,2026-07-16T13:43:00Z,NS-LT-012,KB007,SIMULATED PORTFOLIO DATA
INC025,,Incident,USR013,OneDrive stopped syncing,2-Medium,2-Medium,P3,Microsoft 365,OneDrive Sync,Service Desk Tier 1,Resolved,Closed,2026-07-16T14:00:00Z,2026-07-16T15:05:00Z,NS-LT-013,KB005,SIMULATED PORTFOLIO DATA
INC026,,Incident,USR011,Cannot open shared document,2-Medium,2-Medium,P3,Microsoft 365,File Permission,Service Desk Tier 1,Resolved,Closed,2026-07-17T13:00:00Z,2026-07-17T14:00:00Z,NS-LT-011,KB005,SIMULATED PORTFOLIO DATA
INC027,,Incident,USR006,Office application requests activation,2-Medium,2-Medium,P3,Microsoft 365,Licensing,Service Desk Tier 1,Resolved,Closed,2026-07-17T14:00:00Z,2026-07-17T14:50:00Z,NS-LT-006,KB006,SIMULATED PORTFOLIO DATA
INC029,,Incident,USR008,Teams meeting camera unavailable,2-Medium,1-High,P2,Microsoft 365,Teams Video,Service Desk Tier 1,Resolved,Closed,2026-07-20T14:00:00Z,2026-07-20T14:42:00Z,NS-LT-008,none,SIMULATED PORTFOLIO DATA
INC030,,Incident,USR003,Office application crashes repeatedly,2-Medium,2-Medium,P3,Microsoft 365,Application Crash,Service Desk Tier 1,Resolved,Closed,2026-07-21T13:00:00Z,2026-07-21T14:10:00Z,NS-LT-003,KB006,SIMULATED PORTFOLIO DATA
INC031,,Incident,USR004,Windows Update fails with storage error,2-Medium,2-Medium,P3,Endpoint,Windows Update,Service Desk Tier 1,Resolved,Closed,2026-07-21T14:00:00Z,2026-07-22T13:00:00Z,NS-LT-004,KB008,SIMULATED PORTFOLIO DATA
INC032,,Incident,USR005,Computer is very slow after sign-in,2-Medium,2-Medium,P3,Endpoint,Performance,Service Desk Tier 1,Resolved,Closed,2026-07-22T13:00:00Z,2026-07-22T14:18:00Z,NS-LT-005,none,SIMULATED PORTFOLIO DATA
INC033,,Incident,USR009,Application fails after Windows update,2-Medium,2-Medium,P3,Software,Compatibility,Application Support,Resolved,Closed,2026-07-17T15:00:00Z,2026-07-20T18:00:00Z,NS-LT-009,none,SIMULATED PORTFOLIO DATA
INC034,,Incident,USR010,Shared printer unavailable,2-Medium,2-Medium,P3,Printing,Queue,Service Desk Tier 1,Resolved,Closed,2026-07-23T13:00:00Z,2026-07-24T13:00:00Z,NS-LT-010,none,SIMULATED PORTFOLIO DATA
INC036,,Incident,USR012,System drive is almost full,2-Medium,2-Medium,P3,Endpoint,Storage,Service Desk Tier 1,Resolved,Closed,2026-07-24T13:00:00Z,2026-07-24T14:05:00Z,NS-LT-012,KB008,SIMULATED PORTFOLIO DATA
INC038,,Incident,USR004,Device missing from inventory view,3-Low,3-Low,P4,Asset Management,Inventory Reconciliation,Service Desk Tier 1,Resolved,Closed,2026-07-22T15:00:00Z,2026-07-28T18:00:00Z,NS-WS-019,none,SIMULATED PORTFOLIO DATA
INC039,,Incident,USR003,Suspicious email with sign-in link,1-High,2-Medium,P2,Security,Phishing,Security Operations,Resolved,Closed,2026-07-27T13:00:00Z,2026-07-27T16:00:00Z,NS-LT-003,KB010,SIMULATED PORTFOLIO DATA
INC040,,Incident,USR008,Cannot connect to meeting before executive briefing,2-Medium,1-High,P2,Microsoft 365,Meeting Connectivity,Service Desk Tier 1,Resolved,Closed,2026-07-27T14:00:00Z,2026-07-27T14:35:00Z,NS-LT-008,none,SIMULATED PORTFOLIO DATA
