"event_id","ticket_id","occurred_at","event_type","actor_role","assignment_group","state","visibility","note"
"EVT0034","REQ003","2026-07-03T17:15:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0035","INC007","2026-07-06T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0036","INC007","2026-07-06T13:10:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0037","INC007","2026-07-06T13:11:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0038","INC007","2026-07-06T13:44:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0039","INC007","2026-07-06T13:45:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0040","INC007","2026-07-06T13:50:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0041","INC008","2026-07-06T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0042","INC008","2026-07-06T14:12:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0043","INC008","2026-07-06T14:13:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0044","INC008","2026-07-06T14:51:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0045","INC008","2026-07-06T14:52:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0046","INC008","2026-07-06T14:57:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0047","INC009","2026-07-07T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0048","INC009","2026-07-07T13:09:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0049","INC009","2026-07-07T13:10:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0050","INC009","2026-07-07T13:11:00Z","Assigned","Tier 1 analyst","Security Operations","In Progress","Internal","Assigned the fictional handoff to the final resolver group with diagnostic context."
"EVT0051","INC009","2026-07-07T13:12:00Z","Escalated","Tier 1 analyst","Security Operations","Pending Resolver","Internal","Tier 1 stayed within scope and requested resolver-group action."
"EVT0052","INC009","2026-07-07T16:30:00Z","Resolved","Resolver group","Security Operations","Resolved","Public","Fictional resolution and validation completed."
"EVT0053","INC009","2026-07-07T16:35:00Z","Closed","Service Desk system","Security Operations","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0054","INC010","2026-07-07T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0055","INC010","2026-07-07T14:25:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0056","INC010","2026-07-07T14:26:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0057","INC010","2026-07-07T14:27:00Z","Assigned","Tier 1 analyst","Application Support","In Progress","Internal","Assigned the fictional handoff to the final resolver group with diagnostic context."
"EVT0058","INC010","2026-07-07T14:28:00Z","Escalated","Tier 1 analyst","Application Support","Pending Resolver","Internal","Tier 1 stayed within scope and requested resolver-group action."
"EVT0059","INC010","2026-07-08T13:00:00Z","Resolved","Resolver group","Application Support","Resolved","Public","Fictional resolution and validation completed."
"EVT0060","INC010","2026-07-08T13:05:00Z","Closed","Service Desk system","Application Support","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0061","INC011","2026-07-08T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0062","INC011","2026-07-08T13:18:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0063","INC011","2026-07-08T13:19:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0064","INC011","2026-07-08T13:54:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0065","INC011","2026-07-08T13:55:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0066","INC011","2026-07-08T14:00:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0067","INC012","2026-07-08T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0068","INC012","2026-07-08T14:14:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0069","INC012","2026-07-08T14:15:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0070","INC012","2026-07-08T14:45:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0071","INC012","2026-07-08T14:46:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0072","INC012","2026-07-08T14:51:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0073","INC013","2026-07-09T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0074","INC013","2026-07-09T13:20:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0075","INC013","2026-07-09T13:21:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0076","INC013","2026-07-09T13:47:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0077","INC013","2026-07-09T13:48:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0078","INC013","2026-07-09T13:53:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0079","INC014","2026-07-09T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0080","INC014","2026-07-09T14:16:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0081","INC014","2026-07-09T14:17:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0082","INC014","2026-07-09T14:50:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0083","INC014","2026-07-09T14:51:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0084","INC014","2026-07-09T14:56:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0085","INC015","2026-07-10T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0086","INC015","2026-07-10T13:12:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0087","INC015","2026-07-10T13:13:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0088","INC015","2026-07-10T13:14:00Z","Assigned","Tier 1 analyst","Network Operations","In Progress","Internal","Assigned the fictional handoff to the final resolver group with diagnostic context."
"EVT0089","INC015","2026-07-10T13:15:00Z","Escalated","Tier 1 analyst","Network Operations","Pending Resolver","Internal","Tier 1 stayed within scope and requested resolver-group action."
"EVT0090","INC015","2026-07-10T19:00:00Z","Resolved","Resolver group","Network Operations","Resolved","Public","Fictional resolution and validation completed."
"EVT0091","INC015","2026-07-10T19:05:00Z","Closed","Service Desk system","Network Operations","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0092","INC016","2026-07-10T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0093","INC016","2026-07-10T14:10:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0094","INC016","2026-07-10T14:11:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0095","INC016","2026-07-10T14:41:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0096","INC016","2026-07-10T14:42:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0097","INC016","2026-07-10T14:47:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0098","INC017","2026-07-13T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0099","INC017","2026-07-13T13:22:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0100","INC017","2026-07-13T13:23:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0101","INC017","2026-07-13T14:04:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0102","INC017","2026-07-13T14:05:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0103","INC017","2026-07-13T14:10:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0104","INC018","2026-07-13T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0105","INC018","2026-07-13T14:07:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0106","INC018","2026-07-13T14:08:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0107","INC018","2026-07-13T14:24:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0108","INC018","2026-07-13T14:25:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0109","INC018","2026-07-13T14:30:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0110","INC019","2026-07-10T15:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0111","INC019","2026-07-10T15:25:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0112","INC019","2026-07-10T15:26:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0113","INC019","2026-07-10T15:30:00Z","Pending user","Tier 1 analyst","Service Desk Tier 1","Pending User","Public","Requested an observation window for the intermittent fictional Wi-Fi symptom."
"EVT0114","INC019","2026-07-13T18:00:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0115","INC019","2026-07-13T18:05:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0116","INC020","2026-07-14T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0117","INC020","2026-07-14T13:18:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0118","INC020","2026-07-14T13:19:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0119","INC020","2026-07-14T13:20:00Z","Assigned","Tier 1 analyst","Network Operations","In Progress","Internal","Assigned the fictional handoff to the final resolver group with diagnostic context."
"EVT0120","INC020","2026-07-14T13:21:00Z","Escalated","Tier 1 analyst","Network Operations","Pending Resolver","Internal","Tier 1 stayed within scope and requested resolver-group action."
"EVT0121","INC020","2026-07-14T20:00:00Z","Resolved","Resolver group","Network Operations","Resolved","Public","Fictional resolution and validation completed."
"EVT0122","INC020","2026-07-14T20:05:00Z","Closed","Service Desk system","Network Operations","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0123","INC021","2026-07-14T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0124","INC021","2026-07-14T14:20:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0125","INC021","2026-07-14T14:21:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0126","INC021","2026-07-15T13:00:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0127","INC021","2026-07-15T13:05:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0128","INC022","2026-07-15T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0129","INC022","2026-07-15T13:15:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0130","INC022","2026-07-15T13:16:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0131","INC022","2026-07-15T13:54:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0132","INC022","2026-07-15T13:55:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0133","INC022","2026-07-15T14:00:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0134","INC023","2026-07-15T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0135","INC023","2026-07-15T14:12:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0136","INC023","2026-07-15T14:13:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0137","INC023","2026-07-15T14:46:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0138","INC023","2026-07-15T14:47:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0139","INC023","2026-07-15T14:52:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0140","INC024","2026-07-16T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0141","INC024","2026-07-16T13:11:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0142","INC024","2026-07-16T13:12:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0143","INC024","2026-07-16T13:42:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0144","INC024","2026-07-16T13:43:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0145","INC024","2026-07-16T13:48:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0146","INC025","2026-07-16T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0147","INC025","2026-07-16T14:18:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0148","INC025","2026-07-16T14:19:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0149","INC025","2026-07-16T15:04:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0150","INC025","2026-07-16T15:05:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0151","INC025","2026-07-16T15:10:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0152","INC026","2026-07-17T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0153","INC026","2026-07-17T13:16:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0154","INC026","2026-07-17T13:17:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0155","INC026","2026-07-17T13:59:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0156","INC026","2026-07-17T14:00:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0157","INC026","2026-07-17T14:05:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0158","INC027","2026-07-17T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0159","INC027","2026-07-17T14:15:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0160","INC027","2026-07-17T14:16:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0161","INC027","2026-07-17T14:49:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0162","INC027","2026-07-17T14:50:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0163","INC027","2026-07-17T14:55:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0164","REQ004","2026-07-20T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0165","REQ004","2026-07-20T13:30:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0166","REQ004","2026-07-20T13:31:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0167","REQ004","2026-07-20T13:32:00Z","Assigned","Tier 1 analyst","Microsoft 365 Support","In Progress","Internal","Assigned the fictional handoff to the final resolver group with diagnostic context."
"EVT0168","REQ004","2026-07-20T13:33:00Z","Escalated","Tier 1 analyst","Microsoft 365 Support","Pending Resolver","Internal","Tier 1 stayed within scope and requested resolver-group action."
"EVT0169","REQ004","2026-07-21T15:00:00Z","Resolved","Resolver group","Microsoft 365 Support","Resolved","Public","Fictional resolution and validation completed."
"EVT0170","REQ004","2026-07-21T15:05:00Z","Closed","Service Desk system","Microsoft 365 Support","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0171","INC029","2026-07-20T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0172","INC029","2026-07-20T14:17:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0173","INC029","2026-07-20T14:18:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0174","INC029","2026-07-20T14:41:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0175","INC029","2026-07-20T14:42:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0176","INC029","2026-07-20T14:47:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0177","INC030","2026-07-21T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0178","INC030","2026-07-21T13:20:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0179","INC030","2026-07-21T13:21:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
